"ID","Community","L","R","Win","La1","La2","Li1","Li2","Sa1","Sa2","Si1","Si2","Pa1","Pa2","Pi1","Pi2","diff_L_f","diff_S_f","diff_L_o","diff_S_o","diff_P_o"
1,"Germany","Pa1","La1",1,-1,0,0,0,0,0,0,0,1,0,0,0,-1,0,-1,0,1
1,"Germany","La1","Si1",1,1,0,0,0,0,0,-1,0,0,0,0,0,1,-1,1,1,0
1,"Germany","Pa1","Si1",1,0,0,0,0,0,0,-1,0,1,0,0,0,0,-1,0,1,1
1,"Germany","La2","Pa2",1,0,1,0,0,0,0,0,0,0,-1,0,0,1,0,1,0,-1
1,"Germany","Pa2","Si2",1,0,0,0,0,0,0,0,-1,0,1,0,0,0,-1,0,1,1
1,"Germany","La2","Si2",1,0,1,0,0,0,0,0,-1,0,0,0,0,1,-1,1,1,0
1,"Germany","Pi1","Sa1",1,0,0,0,0,-1,0,0,0,0,0,1,0,0,-1,0,-1,-1
1,"Germany","Sa1","Li1",1,0,0,-1,0,1,0,0,0,0,0,0,0,-1,1,1,1,0
1,"Germany","Pi1","Li1",1,0,0,-1,0,0,0,0,0,0,0,1,0,-1,0,1,0,-1
1,"Germany","Pi2","Li2",1,0,0,0,-1,0,0,0,0,0,0,0,1,-1,0,1,0,-1
1,"Germany","Li2","Sa2",1,0,0,0,1,0,-1,0,0,0,0,0,0,1,-1,-1,-1,0
1,"Germany","Pi2","Sa2",1,0,0,0,0,0,-1,0,0,0,0,0,1,0,-1,0,-1,-1
1,"Germany","La1","Sa1",1,1,0,0,0,-1,0,0,0,0,0,0,0,1,-1,1,-1,0
1,"Germany","Sa1","Li1",1,0,0,-1,0,1,0,0,0,0,0,0,0,-1,1,1,1,0
1,"Germany","La1","Li1",1,1,0,-1,0,0,0,0,0,0,0,0,0,0,0,2,0,0
1,"Germany","La2","Li2",1,0,1,0,-1,0,0,0,0,0,0,0,0,0,0,2,0,0
1,"Germany","Li2","Sa2",1,0,0,0,1,0,-1,0,0,0,0,0,0,1,-1,-1,-1,0
1,"Germany","La2","Sa2",1,0,1,0,0,0,-1,0,0,0,0,0,0,1,-1,1,-1,0
1,"Germany","Pi1","Si1",1,0,0,0,0,0,0,-1,0,0,0,1,0,0,-1,0,1,-1
1,"Germany","Si1","Sa1",1,0,0,0,0,-1,0,1,0,0,0,0,0,0,0,0,-2,0
1,"Germany","Pi1","Sa1",1,0,0,0,0,-1,0,0,0,0,0,1,0,0,-1,0,-1,-1
1,"Germany","Pi2","Si2",1,0,0,0,0,0,0,0,-1,0,0,0,1,0,-1,0,1,-1
1,"Germany","Si2","Sa2",1,0,0,0,0,0,-1,0,1,0,0,0,0,0,0,0,-2,0
1,"Germany","Pi2","Sa2",1,0,0,0,0,0,-1,0,0,0,0,0,1,0,-1,0,-1,-1
1,"Germany","Pa1","La1",1,-1,0,0,0,0,0,0,0,1,0,0,0,-1,0,-1,0,1
1,"Germany","La1","Pi1",1,1,0,0,0,0,0,0,0,0,0,-1,0,1,0,1,0,1
1,"Germany","Pa1","Pi1",1,0,0,0,0,0,0,0,0,1,0,-1,0,0,0,0,0,2
1,"Germany","Pa2","La2",1,0,-1,0,0,0,0,0,0,0,1,0,0,-1,0,-1,0,1
1,"Germany","La2","Pi2",1,0,1,0,0,0,0,0,0,0,0,0,-1,1,0,1,0,1
